time,vstup,výstup
0.0,2.2339725632686473,0.0
0.1001001001001001,2.193844779622214,0.733255082229548
0.2002002002002002,2.143459638071043,1.4008116614085369
0.3003003003003003,2.0834642117347215,2.018015867120279
0.4004004004004004,2.0145536634955143,2.5963907612959245
0.5005005005005005,1.9374644244003276,3.1435485961682934
0.6006006006006006,1.8529671553841653,3.662810477134652
0.7007007007007008,1.7618595568444935,4.155879672659596
0.8008008008008008,1.6649590913467522,4.623208845322752
0.9009009009009009,1.5630956849065556,5.06400194422426
1.001001001001001,1.457104471874186,5.477014768544275
1.1011011011011012,1.3478186474485327,5.8611977863697575
1.2012012012012012,1.2360624902815232,6.215425712442643
1.3013013013013013,1.1226446155169911,6.538771678449498
1.4014014014014016,1.0083515159607908,6.830507233021512
1.5015015015015016,0.8939414459278461,7.090102341734503
1.6016016016016017,0.7801386986871419,7.317225387108918
1.7017017017017018,0.6676283243616705,7.511743168609829
1.8018018018018018,0.5570513306757098,7.673720902646938
1.9019019019019021,0.449000404118278,7.803422222574572
2.002002002002002,0.34401618395405076,7.901309178691687
2.1021021021021022,0.24258411610943587,7.968006187346887
2.2022022022022023,0.14513190834156087,8.004149606217952
2.3023023023023024,0.0520276023136631,8.0106324046188
2.4024024024024024,-0.03642172769516061,7.988458821789562
2.5025025025025025,-0.11997064567063875,7.938716778957044
2.6026026026026026,-0.19843539651453346,7.862577879334721
2.702702702702703,-0.2716933285505502,7.761297408122746
2.802802802802803,-0.33968170976735096,7.636214332507945
2.902902902902903,-0.40239595732165356,7.488751301663815
3.0030030030030033,-0.4598873052555148,7.320414646750532
3.1031031031031033,-0.5122599405548374,7.13279438091494
3.2032032032032034,-0.559667642543945,6.927564199290563
3.3033033033033035,-0.6023099651298193,6.706481478997593
3.4034034034034035,-0.640428005539347,6.471387279142899
3.5035035035035036,-0.6742998068955354,6.223951424897858
3.6036036036036037,-0.7042354452223343,5.966428623515586
3.7037037037037037,-0.7305718542227172,5.706159203642382
3.8038038038038042,-0.7536674434174042,5.4501416740920705
3.9039039039039043,-0.7738965669417206,5.20420178789399
4.004004004004004,-0.7916439014618936,4.972992542292985
4.104104104104104,-0.8072987922786378,4.759994178749409
4.2042042042042045,-0.8212496267318421,4.567514182939126
4.3043043043043046,-0.8338782935050464,4.3966872847535114
